,Tên,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Quận huyện,Hộp số,Nhiên liệu
94,Kia Cerato 2.0 AT Premium 2020,609000000,2020, Sedan, Xe cũ, Trong nước,40000,Hà Nội,Cầu Giấy, Số tự động, Xăng
95,Peugeot 3008 Active 2021,860000000,2021, SUV, Xe cũ, Trong nước,23000,Vĩnh Phúc,Vĩnh Yên, Số tự động, Xăng
96,Lexus ES 300 2020,2850000000,2020, Sedan, Xe cũ, Nhập khẩu,4800,Tp.HCM,Quận 1, Số tự động, Hybrid
97,Hyundai Santa Fe  2017,705000000,2017, SUV, Xe cũ, Trong nước,60000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
98,Ford Ranger XLS 2.2 4x2 AT 2020,630000000,2020, Pick-up Truck, Xe cũ, Nhập khẩu,18000,Hà Nội,Nam Từ Liêm, Số tự động, Diesel
99,Ford Ranger Raptor 2.0L AT 4x4 2019,1190000000,2019, Pick-up Truck, Xe cũ, Nhập khẩu,40000,Tp.HCM,Tân Phú, Số tự động, Diesel
100,Mercedes-Benz C200 2.0 AT 2018,1139000000,2018, Sedan, Xe cũ, Nhập khẩu,35000,Hà Nội,Cầu Giấy, Số tự động, Xăng
101,Mazda CX-5 2.5L AT FWD 2018,775000000,2018, SUV, Xe cũ, Trong nước,45000,Hà Nội,Cầu Giấy, Số tự động, Xăng
102,Toyota Hilux 2.8G 4×4 AT 2018,785000000,2018, Pick-up Truck, Xe cũ, Nhập khẩu,42000,Hà Nội,Nam Từ Liêm, Số tự động, Diesel
103,Ford EcoSport Titanium 1.5L AT 2020,575000000,2020, SUV, Xe cũ, Trong nước,23000,Tp.HCM,Tân Phú, Số tự động, Xăng
104,Mercedes-Benz C200 Exclusive 2020,1450000000,2020, Sedan, Xe cũ, Trong nước,20000,Hà Nội,Cầu Giấy, Số tự động, Xăng
105,Hyundai Elantra   2.0 AT 2020,638000000,2020, Sedan, Xe cũ, Trong nước,25000,Hà Nội,Cầu Giấy, Số tự động, Xăng
106,Lexus LX 570 2019,7850000000,2019, SUV, Xe cũ, Nhập khẩu,9000,Hà Nội,Hà Đông, Số tự động, Xăng
107,Mazda 6 2.0L Luxury 2020,735000000,2020, Sedan, Xe cũ, Trong nước,14000,Hà Nội,Cầu Giấy, Số tự động, Xăng
108,Nissan Navara EL 2.5 AT 2018,485000000,2018, Pick-up Truck, Xe cũ, Nhập khẩu,60000,Bình Dương,Thuận An, Số tự động, Diesel
109,Mercedes-Benz GLC 200 2.0 I4 2022,1890000000,2022, SUV, Xe cũ, Trong nước,1800,Bình Dương,Thuận An, Số tự động, Xăng
110,Nissan Juke 1.6 cvt 2016,570000000,2016, SUV, Xe cũ, Nhập khẩu,75600,Tp.HCM,Bình Thạnh, Số tự động, Xăng
111,Lexus LS 460 2007,835000000,2007, Sedan, Xe cũ, Nhập khẩu,50000,Tp.HCM,Quận 1, Số tự động, Xăng
112,Lexus RX 350 L 2018,3390000000,2018, SUV, Xe cũ, Nhập khẩu,48280,Tp.HCM,Quận 1, Số tự động, Xăng
113,Mazda CX-5 2.5 Premium AT 2WD 2019,790000000,2019, SUV, Xe cũ, Trong nước,4000,Hà Nội,Cầu Giấy, Số tự động, Xăng
114,Ford EcoSport Titanium 1.5L AT 2019,545000000,2019, SUV, Xe cũ, Trong nước,23000,Tp.HCM,Tân Phú, Số tự động, Xăng
115,Honda City 1.5 TOP CVT 2020,540000000,2020, Sedan, Xe cũ, Trong nước,30000,Hà Nội,Cầu Giấy, Số tự động, Xăng
116,Mazda 3 1.5L Sedan 2018,540000000,2018, Sedan, Xe cũ, Trong nước,38000,Hà Nội,Đông Anh, Số tự động, Xăng
117,Mazda CX-5  2018,755000000,2018, SUV, Xe cũ, Trong nước,41000,Hà Nội,Cầu Giấy, Số tự động, Xăng
118,Kia Sedona 2.2 Luxury 2020,1070000000,2020, MPV, Xe cũ, Trong nước,30000,Hà Nội,Cầu Giấy, Số tự động, Diesel
119,Toyota Vios 1.5G AT 2016,425000000,2016, Sedan, Xe cũ, Trong nước,60000,Hà Nội,Đông Anh, Số tự động, Xăng
120,Honda Civic 1.5 RS 2019,738000000,2019, Sedan, Xe cũ, Nhập khẩu,36000,Hà Nội,Cầu Giấy, Số tự động, Xăng
121,Mazda CX-5 2.5 Signature Premium 2WD 2019,855000000,2019, SUV, Xe cũ, Trong nước,39000,Hà Nội,Cầu Giấy, Số tự động, Xăng
122,Kia Morning Si 1.25 AT 2017,318000000,2017, Hatchback, Xe cũ, Trong nước,50000,Bắc Ninh,Thuận Thành, Số tự động, Xăng
123,Ford EcoSport Titanium 1.5L AT 2015,398000000,2015, SUV, Xe cũ, Trong nước,125000,Tp.HCM,Tân Phú, Số tự động, Xăng
124,Kia Sedona 2.2 DATH 2020,1050000000,2020, MPV, Xe cũ, Trong nước,50000,Hà Nội,Cầu Giấy, Số tự động, Diesel
125,Toyota Corolla Altis 1.8G CVT 2017,580000000,2017, Sedan, Xe cũ, Trong nước,42500,Tp.HCM,Bình Thạnh, Số tự động, Xăng
126,Hyundai Elantra   2.0 AT 2021,638000000,2021, Sedan, Xe cũ, Trong nước,30000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
127,Mazda 3 1.5L Sedan 2017,545000000,2017, Sedan, Xe cũ, Trong nước,46000,Hà Nội,Cầu Giấy, Số tự động, Xăng
128,Kia Morning GT-LINE 2021,448000000,2021, Hatchback, Xe cũ, Trong nước,6000,Hà Nội,Cầu Giấy, Số tự động, Xăng
129,Mazda 3 1.5L Sedan 2017,525000000,2017, Sedan, Xe cũ, Trong nước,65573,Hà Nội,Long Biên, Số tự động, Xăng
130,Mitsubishi Xpander 1.5 AT  2019,545000000,2019, MPV, Xe cũ, Nhập khẩu,40000,Hà Nội,Cầu Giấy, Số tự động, Xăng
131,Ford EcoSport Titanium 1.5L AT 2019,545000000,2019, SUV, Xe cũ, Trong nước,28000,Tp.HCM,Tân Phú, Số tự động, Xăng
132,Mercedes-Benz GLC 200 2020,1479000000,2020, SUV, Xe cũ, Trong nước,25678,Tp.HCM,Quận 7, Số tự động, Xăng
133,Toyota Vios 1.5 E CVT 2019,469000000,2019, Sedan, Xe cũ, Trong nước,48000,Hà Nội,Cầu Giấy, Số tự động, Xăng
134,VinFast LUX A2.0 Cao cấp 2019,715000000,2019, Sedan, Xe cũ, Trong nước,38000,Hà Nội,Cầu Giấy, Số tự động, Xăng
135,Mazda CX-5 2.5L AT FWD 2018,775000000,2018, SUV, Xe cũ, Trong nước,32000,Hà Nội,Cầu Giấy, Số tự động, Xăng
136,Toyota Corolla Cross 1.8 HV 2021,945000000,2021, SUV, Xe cũ, Nhập khẩu,11000,Hà Nội,Cầu Giấy, Số tự động, Hybrid
137,Mazda BT-50 2.2AT 2WD 2015,425000000,2015, Pick-up Truck, Xe cũ, Trong nước,70000,Hà Nội,Chương Mỹ, Số tự động, Diesel
138,Ford Everest Limited 2015,575000000,2015, SUV, Xe cũ, Trong nước,90000,Tp.HCM,Tân Phú, Số tự động, Xăng
139,Mazda CX-5 2.5L AT FWD 2018,775000000,2018, SUV, Xe cũ, Trong nước,46000,Hà Nội,Cầu Giấy, Số tự động, Xăng
140,Toyota Yaris 1.3G 2015,466000000,2015, Hatchback, Xe cũ, Nhập khẩu,65365,Hà Nội,Long Biên, Số tự động, Xăng
141,Kia Cerato 2.0 AT Premium 2020,625000000,2020, Sedan, Xe cũ, Trong nước,18000,Hà Nội,Cầu Giấy, Số tự động, Xăng
142,Ford Focus 2010,268000000,2010, Hatchback, Xe cũ, Trong nước,120000,Hà Nội,Bắc Từ Liêm, Số tự động, Xăng
143,Hyundai Santa Fe 2.2l dầu cao cấp 2021,1275000000,2021, SUV, Xe cũ, Trong nước,10000,Hà Nội,Cầu Giấy, Số tự động, Diesel
144,Mercedes-Benz GLA 45 4MATIC 2015,920000000,2015, SUV, Xe cũ, Nhập khẩu,78000,Tp.HCM,Bình Thạnh, Số tự động, Xăng
145,Toyota Corolla Cross 1.8 HV 2020,915000000,2020, SUV, Xe cũ, Nhập khẩu,20000,Hà Nội,Cầu Giấy, Số tự động, Hybrid
146,MG 5 STD 2022,480000000,2022, Sedan, Xe cũ, Nhập khẩu,450,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
147,Kia Cerato 2.0 AT Premium 2020,630000000,2020, Sedan, Xe cũ, Trong nước,18000,Hà Nội,Cầu Giấy, Số tự động, Xăng
148,MG 5 1.5L Luxury 2022,570000000,2022, Sedan, Xe cũ, Nhập khẩu,20000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
149,Audi Q7 3.0 TFSI Quattro 2012,630000000,2012, SUV, Xe cũ, Nhập khẩu,76000,Tp.HCM,Bình Thạnh, Số tự động, Xăng
150,Toyota Hilux 2.4E 4×2 AT 2021,755000000,2021, Pick-up Truck, Xe cũ, Nhập khẩu,60000,Hà Nội,Nam Từ Liêm, Số tự động, Diesel
151,Honda Civic 1.5 L 2017,665000000,2017, Sedan, Xe cũ, Nhập khẩu,48000,Hà Nội,Cầu Giấy, Số tự động, Xăng
152,Toyota Camry 2.5Q 2019,1085000000,2019, Sedan, Xe cũ, Nhập khẩu,30000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
153,Mazda 3 Sedan 2.0L Signature Luxury 2020,685000000,2020, Sedan, Xe cũ, Trong nước,37000,Hà Nội,Cầu Giấy, Số tự động, Xăng
154,Mazda 3 1.5L Sedan 2018,565000000,2018, Sedan, Xe cũ, Trong nước,42000,Hà Nội,Cầu Giấy, Số tự động, Xăng
155,Mazda 2 Sport 1.5L Luxury 2021,538000000,2021, Hatchback, Xe cũ, Trong nước,4000,Hải Dương,Kim Thành, Số tự động, Xăng
156,Audi Q5 45 TFSI quattro 2021,2599000000,2021, SUV, Xe cũ, Nhập khẩu,3000,Hà Nội,Tây Hồ, Số tự động, Xăng
157,Mercedes-Benz C 250 Exclusive 2015,890000000,2015, Sedan, Xe cũ, Nhập khẩu,112654,Tp.HCM,Quận 1, Số tự động, Xăng
158,Mercedes-Benz E250 AMG 2016,1425000000,2016, Sedan, Xe cũ, Nhập khẩu,40000,Tp.HCM,Quận 1, Số tự động, Xăng
159,Mazda CX-5 2.5 Premium AT 2WD 2019,779000000,2019, SUV, Xe cũ, Trong nước,40000,Bình Dương,Thủ Dầu Một, Số tự động, Xăng
160,Toyota Corolla Cross 1.8 V  2021,849000000,2021, SUV, Xe cũ, Nhập khẩu,18000,Bình Dương,Thủ Dầu Một, Số tự động, Xăng
161,Toyota Innova 2.0E 2020,640000000,2020, MPV, Xe cũ, Trong nước,55000,Tp.HCM,Quận 12, Số tay, Xăng
162,Mazda 2 Sport 1.5L Luxury 2021,538000000,2021, Hatchback, Xe cũ, Trong nước,4000,Bắc Ninh,Thuận Thành, Số tự động, Xăng
163,Mitsubishi Pajero Sport  2017,570000000,2017, SUV, Xe cũ, Trong nước,8000,Hà Nội,Tây Hồ, Số tay, Diesel
164,Toyota Zace 2005,185000000,2005, SUV, Xe cũ, Nhập khẩu,220000,Hà Nội,Hoàng Mai, Số tay, Xăng
165,Mazda 2 Sport 1.5L Luxury 2021,538000000,2021, Hatchback, Xe cũ, Trong nước,4000,Hà Nội,Long Biên, Số tự động, Xăng
166,Mazda 3 1.5L Premium 2020,680000000,2020, Sedan, Xe cũ, Trong nước,25000,Hà Nội,Long Biên, Số tự động, Xăng
167,Mazda 3 Sport 1.5L Luxury 2021,670000000,2021, Hatchback, Xe cũ, Trong nước,25000,Hà Nội,Long Biên, Số tự động, Xăng
168,Hyundai Grand i10 Hatchback 1.2 AT 2017,355000000,2017, Hatchback, Xe cũ, Trong nước,51000,Hà Nội,Cầu Giấy, Số tự động, Xăng
169,Mercedes-Benz GLK 220 CDI 4MATIC 2013,740000000,2013, SUV, Xe cũ, Trong nước,111045,Hà Nội,Long Biên, Số tự động, Diesel
170,Toyota Vios 1.5 G CVT 2020,525000000,2020, Sedan, Xe cũ, Trong nước,58900,Hà Nội,Cầu Giấy, Số tự động, Xăng
171,Mazda 2 1.5AT 2015,379000000,2015, Hatchback, Xe cũ, Nhập khẩu,98000,Hải Dương,Chí Linh, Số tự động, Xăng
172,Mercedes-Benz C200 Avantgarde 2022,1639000000,2022, Sedan, Xe cũ, Trong nước,300,Tp.HCM,Tân Phú, Số tự động, Xăng
173,Kia Sedona  2018,835000000,2018, MPV, Xe cũ, Nhập khẩu,75000,Hà Nội,Long Biên, Số tự động, Diesel
174,Kia Sorento 2021,1300000000,2021, SUV, Xe cũ, Trong nước,10900,Tp.HCM,Quận 2, Số tự động, Diesel
175,Mercedes-Benz C200 Avantgarde Plus 2022,1770000000,2022, Sedan, Xe cũ, Nhập khẩu,2500,Hà Nội,Cầu Giấy, Số tự động, Xăng
