,Tên,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Quận huyện,Hộp số,Nhiên liệu
1147,Mazda 3 1.5 Hatchback 2017,520000000,2017, Hatchback, Xe cũ, Trong nước,40000,Hà Nội,Sóc Sơn, Số tự động, Xăng
1148,Ford Ranger XLS 2.2 4x2 AT 2019,635000000,2019, Pick-up Truck, Xe cũ, Nhập khẩu,30000,Hà Nội,Sóc Sơn, Số tự động, Diesel
1149,Toyota Innova 2.0E 2017,545000000,2017, MPV, Xe cũ, Trong nước,50000,Hà Nội,Sóc Sơn, Số tay, Xăng
1150,Daewoo Gentra SX 2010,168000000,2010, Sedan, Xe cũ, Nhập khẩu,60000,Hà Nội,Sóc Sơn, Số tay, Xăng
1151,Toyota Camry 2.0E 2011,475000000,2011, Sedan, Xe cũ, Nhập khẩu,40000,Hà Nội,Sóc Sơn, Số tự động, Xăng
1152,Ford EcoSport Titanium 1.5L AT 2015,418000000,2015, SUV, Xe cũ, Trong nước,60000,Hà Nội,Sóc Sơn, Số tự động, Xăng
1153,Mazda 3 1.5L Sedan 2018,560000000,2018, Sedan, Xe cũ, Trong nước,30000,Hà Nội,Sóc Sơn, Số tự động, Xăng
1154,Toyota Innova 2.0E 2015,420000000,2015, MPV, Xe cũ, Trong nước,50000,Hà Nội,Sóc Sơn, Số tay, Xăng
1155,Hyundai Santa Fe 2.2 Dầu Cao cấp 2022,1265000000,2022, SUV, Xe cũ, Trong nước,8000,Hà Nội,Long Biên, Số tự động, Diesel
1156,Mazda 3 1.5L Luxury 2019,595000000,2019, Sedan, Xe cũ, Trong nước,30000,Hà Nội,Sóc Sơn, Số tự động, Xăng
1157,Toyota Corolla Altis 1.8G MT 2011,360000000,2011, Sedan, Xe cũ, Trong nước,50000,Hà Nội,Sóc Sơn, Số tay, Xăng
1158,Kia Cerato 2.0 AT Premium 2019,585000000,2019, Sedan, Xe cũ, Trong nước,30000,Bắc Ninh,Bắc Ninh, Số tự động, Xăng
1159,Kia Cerato 2.0 AT Premium 2019,585000000,2019, Sedan, Xe cũ, Trong nước,30000,Vĩnh Phúc,Vĩnh Tường, Số tự động, Xăng
1160,Hyundai Accent 1.4 AT 2021,535000000,2021, Sedan, Xe cũ, Trong nước,18000,Bắc Ninh,Bắc Ninh, Số tự động, Xăng
1161,VinFast Fadil Tiêu Chuẩn 2020,350000000,2020, Hatchback, Xe cũ, Trong nước,18000,Vĩnh Phúc,Vĩnh Yên, Số tự động, Xăng
1162,Ford Everest Titanium 2.0L AT 4WD 2021,1265000000,2021, SUV, Xe cũ, Nhập khẩu,9400,Tp.HCM,Tân Phú, Số tự động, Diesel
1163,Ford Ranger Wildtrak 3.2 4x4 AT 2014,495000000,2014, Pick-up Truck, Xe cũ, Nhập khẩu,130000,Hà Nội,Cầu Giấy, Số tự động, Diesel
1164,Ford Ranger Wildtrak 3.2 4x4 AT 2017,730000000,2017, Pick-up Truck, Xe cũ, Nhập khẩu,86000,Tp.HCM,Tân Phú, Số tự động, Diesel
1165,Ford Ranger Wildtrak 3.2 4x4 AT 2015,613000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,100000,Đồng Nai,Tân Phú, Số tự động, Diesel
1166,Hyundai Elantra GLS 1.6MT 2019,465000000,2019, Sedan, Xe cũ, Trong nước,40000,Hà Nội,Sóc Sơn, Số tay, Xăng
1167,Mazda 3 1.5L Luxury 2022,685000000,2022, Sedan, Xe cũ, Trong nước,13000,Hà Nội,Long Biên, Số tự động, Xăng
1168,Nissan X trail 2.0 SL 2WD Xtronic-CVT 2017,620000000,2017, SUV, Xe cũ, Trong nước,70000,Hà Nội,Long Biên, Số tự động, Xăng
1169,Honda CR-V 2.4AT 2015,640000000,2015, SUV, Xe cũ, Trong nước,50000,Hà Nội,Thanh Xuân, Số tự động, Xăng
1170,Hyundai Tucson 2.0 dầu đặc biệt 2019,820000000,2019, SUV, Xe cũ, Trong nước,30000,Hà Nội,Long Biên, Số tự động, Diesel
1171,Toyota Vios 1.5G AT 2012,345000000,2012, Sedan, Xe cũ, Trong nước,100000,Hà Nội,Cầu Giấy, Số tự động, Xăng
1172,Mazda CX-5  2015,565000000,2015, SUV, Xe cũ, Trong nước,10000,Hà Nội,Tây Hồ, Số tự động, Xăng
1173,Land Rover Range Rover Evoque Prestige 2013,890000000,2013, SUV, Xe cũ, Nhập khẩu,75000,Bình Dương,Thuận An, Số tự động, Xăng
1174,BMW 328i GT 2016,1039000000,2016, Sedan, Xe cũ, Nhập khẩu,34000,Tp.HCM,Quận 7, Số tự động, Xăng
1175,Honda Civic 1.5 Turbo RS 2020,750000000,2020, Sedan, Xe cũ, Nhập khẩu,29000,Bình Dương,Thuận An, Số tự động, Xăng
1176,Honda Brio RS 2021,435000000,2021, Hatchback, Xe cũ, Nhập khẩu,18000,Hải Phòng,Hải An, Số tự động, Xăng
1177,Hyundai Getz 1.1MT 2009,128000000,2009, Hatchback, Xe cũ, Nhập khẩu,120000,Hà Tĩnh,Cẩm Xuyên, Số tay, Xăng
1178,Mercedes-Benz S 450L Luxury 2017,3150000000,2017, Sedan, Xe cũ, Nhập khẩu,35000,Hà Nội,Nam Từ Liêm, Số tự động, Xăng
1179,Mitsubishi Outlander 2.0 CVT Premium 2020,789000000,2020, SUV, Xe cũ, Trong nước,36000,Bình Dương,Dĩ An, Số tự động, Xăng
1180,Peugeot 3008 Allure 2022,1110000000,2022, SUV, Xe cũ, Trong nước,12000,Hà Nội,Cầu Giấy, Số tự động, Xăng
1181,Toyota Land Cruiser Prado TX-L 2021,2580000000,2021, SUV, Xe cũ, Nhập khẩu,20000,Hà Nội,Cầu Giấy, Số tự động, Xăng
1182,Mazda 3 1.5L Sedan 2017,530000000,2017, Sedan, Xe cũ, Trong nước,60000,Hà Nội,Long Biên, Số tự động, Xăng
1183,Mercedes-Benz S450 Luxury 2017,2990000000,2017, Sedan, Xe cũ, Nhập khẩu,40000,Hà Nội,Thanh Xuân, Số tự động, Xăng
1184,Toyota Rush S 1.5 AT 2018,530000000,2018, SUV, Xe cũ, Nhập khẩu,66000,Đồng Nai,Long Thành, Số tự động, Xăng
1185,Toyota Corolla Altis 1.8G AT 2018,610000000,2018, Sedan, Xe cũ, Trong nước,41000,Nam Định,Nam Định, Số tự động, Xăng
1186,Porsche Macan S 2015,2380000000,2015, SUV, Xe cũ, Nhập khẩu,70000,Hà Nội,Cầu Giấy, Số tự động, Xăng
1187,Mitsubishi Xpander Cross 1.5 AT 2020,620000000,2020, SUV, Xe cũ, Nhập khẩu,20000,Đồng Nai,Long Thành, Số tự động, Xăng
1188,Mitsubishi Pajero Sport 3.0 V6 Gasoline 4X4 AT 2017,759000000,2017, SUV, Xe cũ, Nhập khẩu,80000,Lâm Đồng,Đà Lạt, Số tự động, Xăng
1189,Kia Cerato 1.6 AT 2017,475000000,2017, Sedan, Xe cũ, Trong nước,86000,Hà Nội,Hoàng Mai, Số tự động, Xăng
1190,Hyundai Grand i10  2015,230000000,2015, Hatchback, Xe cũ, Nhập khẩu,80000,Nghệ An,Vinh, Số tay, Xăng
1191,Mazda CX-8 Premium 2021,989000000,2021, SUV, Xe cũ, Trong nước,19000,Hà Nội,Hoàng Mai, Số tự động, Xăng
1192,Hyundai Grand i10 Hatchback 1.2 AT 2017,332000000,2017, Hatchback, Xe cũ, Trong nước,78000,Nghệ An,Vinh, Số tự động, Xăng
1193,Mazda 6 2.0 Premium 2017,649000000,2017, Sedan, Xe cũ, Trong nước,77000,Bình Dương,Thủ Dầu Một, Số tự động, Xăng
1194,Mercedes-Benz E200 Exclusive V1 2022,2229000000,2022, Sedan, Xe cũ, Trong nước,7500,Tp.HCM,Quận 1, Số tự động, Xăng
1195,Hyundai Elantra GLS 1.6MT 2021,530000000,2021, Sedan, Xe cũ, Trong nước,36888,Hà Nội,Hoàng Mai, Số tay, Xăng
1196,Mazda 2 1.5AT 2018,439000000,2018, Hatchback, Xe cũ, Trong nước,60000,Bình Dương,Thủ Dầu Một, Số tự động, Xăng
1197,Hyundai Grand i10 Sedan 1.2 MT 2021,398000000,2021, Sedan, Xe cũ, Trong nước,4800,Tp.HCM,Thủ Đức, Số tay, Xăng
1198,Mercedes-Benz C300 AMG 2020,1599000000,2020, Sedan, Xe cũ, Trong nước,33796,Tp.HCM,Quận 7, Số tự động, Xăng
1199,Ford EcoSport Titanium 1.5L AT 2020,575000000,2020, SUV, Xe cũ, Nhập khẩu,23000,Tp.HCM,Tân Phú, Số tự động, Xăng
1200,Kia Morning Van 1.0 AT 2015,265000000,2015, Hatchback, Xe cũ, Trong nước,57000,Hà Nội,Long Biên, Số tự động, Xăng
1201,Land Rover Range Rover Autobiography LWB 5.0 2015,5335000000,2015, SUV, Xe cũ, Nhập khẩu,52000,Hà Nội,Đống Đa, Số tự động, Xăng
1202,Ford Ranger XLS 2.2 4x2 AT 2019,619000000,2019, Pick-up Truck, Xe cũ, Nhập khẩu,50000,Lâm Đồng,Đức Trọng, Số tự động, Diesel
1203,Ford EcoSport Titanium 1.5L AT 2016,419000000,2016, SUV, Xe cũ, Nhập khẩu,50000,Đồng Nai,Long Thành, Số tự động, Xăng
1204,Mazda CX-8 Premium 2WD 2019,875000000,2019, SUV, Xe cũ, Trong nước,34000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1205,Hyundai Kona 2.0AT Tiêu chuẩn 2019,555000000,2019, SUV, Xe cũ, Trong nước,31333,Hà Nội,Long Biên, Số tự động, Xăng
1206,Hyundai Tucson 2.0 Đặc biệt 2018,715000000,2018, SUV, Xe cũ, Trong nước,55000,Hà Nội,Long Biên, Số tự động, Xăng
1207,Ford Ranger XLS 2.2 4x2 AT 2019,760000000,2019, Pick-up Truck, Xe cũ, Nhập khẩu,20000,Bình Dương,Dĩ An, Số tự động, Diesel
1208,Ford Ranger XLS 2.2 4x2 AT 2020,598000000,2020, Pick-up Truck, Xe cũ, Nhập khẩu,40000,Đồng Nai,Long Thành, Số tự động, Xăng
1209,Mazda 3 1.5L Premium 2020,680000000,2020, Sedan, Xe cũ, Trong nước,25000,Hà Nội,Long Biên, Số tự động, Xăng
1210,Hyundai Santa Fe 2.2 Dầu Cao cấp 2021,1199000000,2021, SUV, Xe cũ, Trong nước,40000,Tp.HCM,Thủ Đức, Số tự động, Diesel
1211,Peugeot 3008 Active 2018,815000000,2018, SUV, Xe cũ, Trong nước,61155,Bình Dương,Dầu Tiếng, Số tự động, Xăng
1212,Ford Ranger XLS 2.2 4x2 AT 2019,760000000,2019, Pick-up Truck, Xe cũ, Nhập khẩu,20000,Đồng Nai,Long Thành, Số tự động, Diesel
1213,Ford Ranger XLS 2.2 4x2 AT 2020,598000000,2020, Pick-up Truck, Xe cũ, Nhập khẩu,40000,Tp.HCM,Quận 7, Số tự động, Xăng
1214,Mercedes-Benz C200 Exclusive 2019,1150000000,2019, Sedan, Xe cũ, Trong nước,37000,Hà Nội,Hai Bà Trưng, Số tự động, Xăng
1215,Toyota Yaris 1.5G 2016,465000000,2016, Hatchback, Xe cũ, Nhập khẩu,60000,Bình Dương,Thuận An, Số tự động, Xăng
1216,Toyota Fortuner 2.5G 4x2MT 2013,585000000,2013, SUV, Xe cũ, Trong nước,130000,Hà Nội,Cầu Giấy, Số tay, Diesel
1217,Honda Civic 1.8 E 2019,572000000,2019, Sedan, Xe cũ, Nhập khẩu,34000,Tp.HCM,Hóc Môn, Số tự động, Xăng
1218,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1219,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1220,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1221,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1222,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1223,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1224,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1225,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1226,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1227,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1228,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1229,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1230,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1231,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1232,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1233,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1234,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1235,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1236,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1237,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1238,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1239,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1240,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1241,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1242,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1243,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1244,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1245,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1246,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1247,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1248,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1249,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1250,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1251,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1252,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1253,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1254,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1255,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1256,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1257,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1258,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1259,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1260,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1261,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1262,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1263,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1264,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1265,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1266,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1267,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1268,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1269,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1270,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1271,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1272,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1273,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1274,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1275,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1276,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1277,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1278,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1279,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1280,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1281,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1282,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1283,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1284,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1285,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1286,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1287,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1288,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1289,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1290,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1291,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1292,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1293,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1294,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1295,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1296,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1297,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1298,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1299,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1300,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1301,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1302,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1303,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1304,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1305,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1306,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1307,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1308,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1309,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1310,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1311,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1312,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1313,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1314,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
1315,Mazda 3 1.5 Hatchback 2016,480000000,2016, Hatchback, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tự động, Xăng
1316,Ford Ranger Wildtrak 2.2 4x2 AT 2016,660000000,2016, Pick-up Truck, Xe cũ, Nhập khẩu,70000,Hà Nội,Thanh Oai, Số tự động, Diesel
1317,Hyundai Accent 1.4 AT 2020,528000000,2020, Sedan, Xe cũ, Trong nước,29000,Hải Dương,Chí Linh, Số tự động, Xăng
1318,Suzuki XL7 GLX 2021,556000000,2021, SUV, Xe cũ, Nhập khẩu,10000,Tp.HCM,Thủ Đức, Số tự động, Xăng
1319,Kia Seltos 1.4 Luxury 2021,670000000,2021, SUV, Xe cũ, Trong nước,8000,Đà Nẵng,Hải Châu, Số tự động, Xăng
1320,Ford Focus 2007,163000000,2007, Sedan, Xe cũ, Trong nước,130000,Hà Nội,Hà Đông, Số tay, Xăng
1321,Ford Ranger XLT 2.2 4X4 MT 2015,465000000,2015, Pick-up Truck, Xe cũ, Nhập khẩu,14000,Hòa Bình,Kim Bôi, Số tay, Diesel
1322,Toyota Vios 1.5E MT 2019,405000000,2019, Sedan, Xe cũ, Trong nước,74000,Hà Nội,Long Biên, Số tay, Xăng
1323,Hyundai Accent 1.4MT 2018,395000000,2018, Sedan, Xe cũ, Trong nước,60000,Bình Dương,Thuận An, Số tay, Xăng
1324,Mazda 2  2015,340000000,2015, Hatchback, Xe cũ, Nhập khẩu,62000,Hà Nội,Long Biên, Số tự động, Xăng
1325,Toyota Vios 1.5E MT 2015,335000000,2015, Sedan, Xe cũ, Trong nước,90000,Hà Nội,Thanh Oai, Số tay, Xăng
